TEB_Class,VEGF,BLDF,PAVF,BLDH,Z0RF,Z0RD,ALRF,ALRD,ALWL,EMRF,EMRD,EMWL,HCRF1,HCRD1,HCWL1,HCRF2,HCRD2,HCWL2,HCRF3,HCRD3,HCWL3,TCRF1,TCRD1,TCWL1,TCRF2,TCRD2,TCWL2,TCRF3,TCRD3,TCWL3,DPRF1,DPRD1,DPWL1,DPRF2,DPRD2,DPWL2,DPRF3,DPRD3,DPWL3,QHTR,QETR,QHIN,QEIN,VF_1,VF_2,VF_3,VF_4,VF_5,VF_6,VF_7,VF_8,VF_9,VF10,VF11,VF12,VF13,VF14,VF15,VF16,VF17,VF18,VF19,VF20,VF21,VF22,VF23,VF24,VF25,VF26
-1,0,0,0,0,0,0,0,0,0,0,0,0,1199,1199,1199,1198,1198,1198,1197,1197,1197,1199,1199,1199,1198,1198,1198,1197,1197,1197,1199,1199,1199,1198,1198,1198,1197,1197,1197,0,0,0,0,1199,1198,1197,1196,1195,1194,1193,1192,1191,1190,1189,1188,1187,1186,1185,1184,1183,1182,1181,1180,1179,1178,1177,1176,1175,1174
100,0,1,0,8,0.15,-9999,0.15,-9999,0.25,0.92,-9999,0.9,3.00E+006,-9999,1.55E+006,1.50E+006,-9999,1.55E+006,2.90E+005,-9999,2.90E+005,1.51,-9999,0.9338,0.15,-9999,0.9338,0.04,-9999,0.05,0.05,-9999,0.02,0.4,-9999,0.125,0.1,-9999,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
102,0,1,0,10,0.15,-9999,0.25,-9999,0.25,0.91,-9999,0.91,2.18E+006,-9999,1.89E+006,2.18E+006,-9999,1.89E+006,2.18E+006,-9999,1.89E+006,1.83,-9999,1.77,1.83,-9999,1.77,1.83,-9999,1.77,0.05,-9999,0.02,0.4,-9999,0.125,0.1,-9999,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104,0,1,0,20,0.15,-9999,0.16,-9999,0.25,0.28,-9999,0.91,3.00E+006,-9999,2.11E+006,1.50E+006,-9999,2.11E+006,2.90E+005,-9999,2.11E+006,1.51,-9999,1.51,0.15,-9999,0.67,0.04,-9999,1.51,0.05,-9999,0.02,0.4,-9999,0.125,0.1,-9999,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
110,0,1,0,10,0.15,-9999,0.12,-9999,0.5,0.92,-9999,0.9,1.76E+006,-9999,2.11E+006,1.00E+005,-9999,1.00E+006,2.21E+006,-9999,2.11E+006,1.4,-9999,1.51,0.03,-9999,0.67,1.51,-9999,1.51,0.03,-9999,0.03,0.01,-9999,0.14,0.03,-9999,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
120,0,1,0,15,0.15,-9999,0.15,-9999,0.3,0.92,-9999,0.9,3.00E+006,-9999,1.55E+006,1.50E+006,-9999,1.55E+006,2.90E+005,-9999,2.90E+005,1.51,-9999,0.9338,0.15,-9999,0.9338,0.04,-9999,0.05,0.05,-9999,0.02,0.4,-9999,0.125,0.1,-9999,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,0,1,0,9.5,0.15,-9999,0.15,-9999,0.3,0.92,-9999,0.91,3.00E+006,-9999,1.55E+006,1.50E+006,-9999,1.55E+006,2.90E+005,-9999,2.90E+005,1.51,-9999,0.9338,0.15,-9999,0.9338,0.04,-9999,0.05,0.05,-9999,0.02,0.4,-9999,0.125,0.1,-9999,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
140,0,1,0,10,0.15,-9999,0.15,-9999,0.3,0.92,-9999,0.91,3.00E+006,-9999,1.55E+006,1.50E+006,-9999,1.55E+006,2.90E+005,-9999,2.90E+005,1.51,-9999,0.9338,0.15,-9999,0.9338,0.04,-9999,0.05,0.05,-9999,0.02,0.4,-9999,0.125,0.1,-9999,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
150,0,1,0,4.5,0.15,-9999,0.15,-9999,0.3,0.92,-9999,0.91,3.00E+006,-9999,1.55E+006,1.50E+006,-9999,1.55E+006,2.90E+005,-9999,2.90E+005,1.51,-9999,0.9338,0.15,-9999,0.9338,0.04,-9999,0.05,0.05,-9999,0.02,0.4,-9999,0.125,0.1,-9999,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
160,0,1,0,4.5,0.15,-9999,0.15,-9999,0.3,0.92,-9999,0.91,3.00E+006,-9999,1.55E+006,1.50E+006,-9999,1.55E+006,2.90E+005,-9999,2.90E+005,1.51,-9999,0.9338,0.15,-9999,0.9338,0.04,-9999,0.05,0.05,-9999,0.02,0.4,-9999,0.125,0.1,-9999,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
164,0,1,0,40,0.15,-9999,0.35,-9999,0.35,0.92,-9999,0.92,2.18E+006,-9999,2.18E+006,2.18E+006,-9999,2.18E+006,2.18E+006,-9999,2.18E+006,1.83,-9999,1.83,1.83,-9999,1.83,1.83,-9999,1.83,0.05,-9999,0.02,0.4,-9999,0.125,0.1,-9999,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
170,0,1,0,4.5,0.15,-9999,0.15,-9999,0.25,0.9,-9999,0.9,3.00E+006,-9999,1.55E+006,1.50E+006,-9999,1.55E+006,2.90E+005,-9999,2.90E+005,1.51,-9999,0.9338,0.15,-9999,0.9338,0.04,-9999,0.05,0.05,-9999,0.02,0.4,-9999,0.125,0.1,-9999,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
200,0.613360813,0.300700432,0.085938755,7,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306680406,0,0,0,0,0,0,0,0.386639187,0,0,0,0.306680406,0
201,0.792654338,0.179853081,0.027492581,9.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396327169,0,0,0,0,0,0,0,0.207345662,0,0,0,0.396327169,0
202,0.679532719,0.256099271,0.064368011,9.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.339766359,0,0,0,0,0,0,0,0.320467281,0,0,0,0.339766359,0
203,0.613360813,0.300700432,0.085938755,7,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306680406,0,0,0,0,0,0,0,0.386639187,0,0,0,0.306680406,0
204,0.566411099,0.33234546,0.101243441,7,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283205549,0,0,0,0,0,0,0,0.433588901,0,0,0,0.283205549,0
205,0.529994071,0.356891251,0.113114678,7,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264997036,0,0,0,0,0,0,0,0.470005929,0,0,0,0.264997036,0
206,0.500239193,0.376946622,0.122814185,7,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250119597,0,0,0,0,0,0,0,0.499760807,0,0,0,0.250119597,0
207,0.475081802,0.393903197,0.131015001,7,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237540901,0,0,0,0,0,0,0,0.524918198,0,0,0,0.237540901,0
208,0.453289479,0.40859165,0.138118871,7,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226644739,0,0,0,0,0,0,0,0.546710521,0,0,0,0.226644739,0
209,0.434067287,0.421547784,0.144384928,7,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217033644,0,0,0,0,0,0,0,0.565932713,0,0,0,0.217033644,0
210,0.416872451,0.433137441,0.149990108,9.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208436226,0,0,0,0,0,0,0,0.583127549,0,0,0,0.208436226,0
211,0.40131783,0.443621561,0.155060609,9.5,0.15,0.05,0.15,0.16,0.25,0.91,0.93,0.85,3.00E+006,1.00E+006,1.55E+006,1.50E+006,3.00E+006,1.55E+006,2.90E+005,1.30E+006,2.90E+005,1.51,0.7,0.9338,0.15,1.8,0.9338,0.04,0.3,0.05,0.05,0.08,0.02,0.4,0.2,0.125,0.1,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200658915,0,0,0,0,0,0,0,0.59868217,0,0,0,0.200658915,0
